trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A201-A1672-1-22-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-2-4-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-3-8-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-4-10-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-4-12-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-4-24-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-1-17-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-1-23-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-2-9-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-2-22-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-2-25-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-3-4-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-3-10-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-1-12-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-3-3-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-4-22-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-1-20-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-2-21-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-3-5-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-3-6-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-4-11-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-1-3-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-1-16-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-2-7-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-2-14-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-3-2-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-3-19-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-4-2-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A1672-4-18-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A201-A2646-4-25-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-1-21-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A2646-2-17-34154492681,A201,34154492681,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2646,0,0
A201-A1672-2-20-34154492681,A201,34154492681,Ж.К. ВРЪБНИЦА 2,,,,A1672,0,0
A200-A3908-1-20-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3908-4-8-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
TB33-TB889-2-23-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
A200-A4151-4-2-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A4151,0,0
TB33-TB890-2-26-8123784820,TB33,8123784820,село Герман,,,,TB890,0,0
TB33-TB889-1-11-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
A200-A3908-3-2-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
TB33-TB889-1-25-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
A200-A3907-3-13-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3907-3-5-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3908-1-22-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3908-2-20-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3908-3-10-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
A200-A3907-1-7-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3908-2-6-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3908-4-12-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A200-A3907-2-19-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3907-1-5-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3907-2-25-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200215996494161,A3907,0,0
A200-A3908-2-14-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3907-3-11-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3907-4-13-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
TB33-TB889-2-9-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
A200-A3907-1-23-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3908-3-22-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200315996494161,A3908,0,0
A200-A3908-4-24-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A200-A3908-4-6-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A200-A3908-2-4-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200215996494161,A3908,0,0
A200-A3908-1-2-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200115996494161,A3908,0,0
A200-A3907-3-17-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
TB33-TB889-1-7-8123784820,TB33,8123784820,АВТОСТАНЦИЯ ГЕО МИЛЕВ,,,,TB889,0,0
TB4-TB192-4-4-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TB4-TB334-3-17-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TB4-TB334-4-13-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB442634232060,TB334,0,0
TB4-TB334-2-26-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB422634232060,TB334,0,0
TB4-TB334-4-25-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB442634232060,TB334,0,0
TB4-TB334-1-16-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB412634232060,TB334,0,0
TB4-TB334-2-6-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB422634232060,TB334,0,0
TB4-TB334-3-7-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TB4-TB192-1-3-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB192-2-19-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB422634232060,TB192,0,0
TB4-TB192-1-13-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB578-4-28-2634232060,TB4,2634232060,УЛ. ГЕН. ГУРКО,,,TB442634232060,TB578,0,0
TB4-TB192-3-16-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TB4-TB192-3-20-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TM28-TM251-1-16-25727419830,TM28,25727419830,Гара Захарна фабрика,,,TM28125727419830,TM251,0,0
TB4-TB192-2-23-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB422634232060,TB192,0,0
